X,y
0,0.276280666
5,0.295856108
15,0.32032541
20,0.32521927
25,0.364306597
30,0.378988178
35,0.31543155
40,0.330113131
45,0.32521927
60,0.339837295
65,0.31543155
76,0.344731155
81,0.310537689
86,0.281174527
91,0.295856108
96,0.24698106
101,0.359412737
106,0.374094318
111,0.32032541
116,0.32521927
121,0.24698106
126,0.364306597
131,0.32521927
136,0.286068387
141,0.32032541
146,0.281174527
151,0.286068387
156,0.330113131
161,0.359412737
166,0.339837295
171,0.369200458
176,0.295856108
181,0.39366976
191,0.349625016
196,0.276280666
201,0.305643829
206,0.32032541
211,0.354518876
216,0.369200458
221,0.364306597
226,0.290962247
231,0.374094318
236,0.339837295
241,0.286068387
246,0.31543155
252,0.290962247
257,0.339837295
262,0.305643829
272,0.310537689
277,0.261599085
282,0.300749968
287,0.295856108
292,0.290962247
297,0.295856108
302,0.310537689
307,0.300749968
310,0.388775899
312,0.271386806
317,0.335006991
322,0.388775899
326,0.32521927
330,0.295856108
333,0.383882039
335,0.354518876
338,0.383882039
342,0.339837295
346,0.32032541
349,0.295856108
353,0.344731155
356,0.31543155
360,0.388775899
365,0.354518876
369,0.31543155
372,0.383882039
375,0.413245201
379,0.349625016
383,0.359412737
387,0.31543155
391,0.378988178
395,0.330113131
399,0.39366976
402,0.39856362
405,0.344731155
409,0.388775899
413,0.349625016
416,0.344731155
419,0.305643829
422,0.295856108
425,0.339837295
428,0.39366976
431,0.369200458
436,0.354518876
440,0.330113131
444,0.290962247
448,0.408351341
452,0.339837295
454,0.349625016
458,0.374094318
462,0.383882039
466,0.408351341
470,0.378988178
473,0.364306597
476,0.339837295
479,0.422969366
482,0.388775899
485,0.305643829
489,0.354518876
493,0.32032541
497,0.354518876
501,0.388775899
505,0.364306597
508,0.330113131
511,0.32521927
514,0.305643829
517,0.300749968
520,0.339837295
523,0.305643829
526,0.32032541
529,0.31543155
532,0.359412737
535,0.369200458
538,0.339837295
541,0.418139062
544,0.369200458
548,0.383882039
552,0.349625016
555,0.378988178
559,0.413245201
562,0.354518876
565,0.39366976
568,0.413245201
571,0.369200458
574,0.388775899
577,0.32032541
580,0.427863226
583,0.408351341
586,0.349625016
590,0.408351341
593,0.374094318
596,0.418139062
600,0.335006991
603,0.359412737
607,0.39856362
611,0.378988178
614,0.354518876
619,0.31543155
623,0.349625016
627,0.354518876
631,0.32032541
635,0.354518876
639,0.359412737
642,0.442544807
646,0.403457481
650,0.364306597
653,0.403457481
657,0.32032541
660,0.378988178
663,0.359412737
666,0.32521927
670,0.378988178
673,0.369200458
676,0.403457481
679,0.413245201
683,0.32521927
686,0.369200458
690,0.418139062
694,0.39366976
698,0.437650947
702,0.378988178
705,0.364306597
709,0.388775899
713,0.437650947
717,0.442544807
720,0.39366976
724,0.344731155
727,0.374094318
730,0.422969366
733,0.427863226
736,0.354518876
740,0.39856362
744,0.383882039
748,0.378988178
752,0.447438668
756,0.339837295
760,0.418139062
764,0.383882039
767,0.335006991
770,0.442544807
773,0.437650947
776,0.39366976
780,0.39856362
783,0.349625016
786,0.462120249
788,0.383882039
789,0.374094318
792,0.369200458
795,0.413245201
799,0.378988178
805,0.39366976
809,0.364306597
